Season,Episode,Title,Abstract,Director,Rating,Character,Colour
3,3,The One with the Jam,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,Kevin Bright,8.1,Phoebe,#B88194
3,4,The One with the Metaphorical Tunnel,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,Steve Zuckerman,8.1,Chandler,#d8873a
3,5,The One with Frank Jr.,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,Steve Zuckerman,8.1,Phoebe,#B88194
3,6,The One with the Flashback,The gang remember the events three years ago when several of them almost slept together.,Peter Bonerz,9.1,Monica,#be0a09
3,7,The One with the Race Car Bed,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.,Gail Mancuso,8.3,Joey,#76a47d
3,8,The One with the Giant Poking Device,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,Gail Mancuso,8.4,Chandler,#d8873a
3,9,The One with the Football,Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of 'touch' football.,Kevin Bright,9.0,Monica,#be0a09
3,10,The One Where Rachel Quits,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,Terry Hughes,8.1,Ross,#85a2be
3,11,The One Where Chandler Can't Remember Which Sister,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,Terry Hughes,8.6,Chandler,#d8873a
3,12,The One with All the Jealousy,Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.,Robby Benson,8.2,Ross,#85a2be
3,13,The One Where Monica and Richard Are Just Friends,Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a 'wardrobe malfunction'.,Robby Benson,8.2,Monica,#be0a09
3,14,The One with Phoebe's Ex-Partner,Phoebe is reunited with her former singing partner who thinks 'Smelly Cat' has hit potential. Chandler dates a woman with a prosthetic leg.,Robby Benson,7.9,Phoebe,#B88194
3,15,The One Where Ross and Rachel Take a Break,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman. Phoebe's date needs an interpreter to communicate.,James Burrows,8.5,Rachel,#eab913
3,16,The One with the Morning After,Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.,James Burrows,9.1,Ross,#85a2be
